speaker_id,text,audio_path,duration,source,language,gender
2G6SW,Ndị nhicha anaghị abịa ọrụ n'oge.,/data/naijavoices/igbo/20240118165626-20-775-179172-ndi-nhicha-anaghi-abia-oru-n-o.wav,3.3,naijavoices,igbo,female
CZ4MW,"Eh, ofishin nada ɗakunan hutawa",/data/naijavoices/hausa/20240215071011-169-2621-682497-eh-ofishin-nada-akunan-hutawa.wav,2.82,naijavoices,hausa,male
20,Mɛni ofeɔ ŋmɛnɛ,/data/fisd/ga/GaMa20-BAt9gHqR-Tmp103-saWzSq.wav,7.3535,Ashesi-Org_Financial-Inclusion-Speech-Dataset,ga,male
02EVM,Nkole na akwado iji ugbo elu a-ga obodo oyibo echi,/data/naijavoices/igbo/20240112105543-18-165-35951-nkole-na-akwado-iji-ugbo-elu-a.wav,4.74,naijavoices,igbo,male
6P3CR,Leɓe ɗaya ba ya fito.,/data/naijavoices/hausa/20240414165719-249-5652-1365878-le-e-aya-ba-ya-fito.wav,1.86,naijavoices,hausa,female
6VBAX,Achọghị m ịṅụ ọgwụ folik asid maka nwa m.,/data/naijavoices/igbo/20231213091320-36-99-20767-achgh-m--gw-folik-asid.wav,3.96,naijavoices,igbo,male
NOWWC,Iṣu ewùrà ṣe pàtàkì láti fi se ìkọ́kọrẹ́.,/data/naijavoices/yoruba/20240204223311-130-1449-240522-isu-ewura-se-pataki-lati-fi-se.wav,3.66,naijavoices,yoruba,male
LGLSI,Nna gị o ji traktọ akọ ugbo?,/data/naijavoices/igbo/20240307220713-101-1074-329427-nna-gi-o-ji-trakto-ako-ugbo.wav,2.82,naijavoices,igbo,female
RC1PZ,Wetara biyudin bụlọku gị echi!,/data/naijavoices/igbo/20240106204245-99-1054-324641-wetara-biyudin-b-l-ku-g-echi.wav,2.46,naijavoices,igbo,female
K5504,Mbanye bụ usoro ịkụziri ndị mmadụ ụdị na ụdị ọrụ ha ga-arụ,/data/naijavoices/igbo/20240323083344-187-5585-1349723-mbanye-bu-usoro-ikuziri-ndi-mm.wav,5.46,naijavoices,igbo,male
RWCVB,Za ka so yin auren gargajiya?,/data/naijavoices/hausa/20231231143701-85-672-124601-za-ka-so-yin-auren-gargajiya.wav,1.38,naijavoices,hausa,male
Z2EVY,"Bẹ́ẹ̀ ni, mo ti gbé omi sínú àpò mi",/data/naijavoices/yoruba/20240301191830-74-2095-463926-be-e-ni-mo-ti-gbe-omi-sinu-apo.wav,3.36,naijavoices,yoruba,female
UKZ6I,Ministan tsaro na Najeriya ya kai ziyara Zamfara.,/data/naijavoices/hausa/20240118193533-161-1392-299164-ministan-tsaro-na-najeriya-ya.wav,3.9,naijavoices,hausa,male
20,Ofainɛ noko  ekoŋ yɛ ni otawɔ ni ofee aloo,/data/fisd/ga/GaMa20-JAxNmZd8-Tmp038-3r9eIe.wav,7.4335,Ashesi-Org_Financial-Inclusion-Speech-Dataset,ga,male
WSYC1,Àpò ìs̩ó méjì ni Bòdé rà láti fi kan ilé rè̩,/data/naijavoices/yoruba/20240310230107-170-2801-641992-a-po-i-s-o-me-ji-ni-bo-de-ra-l.wav,4.02,naijavoices,yoruba,female
92IRM,Ka fice min daga ofishi na,/data/naijavoices/hausa/20240322053358-259-5059-1013542-ka-fice-min-daga-ofishi-na.wav,2.88,naijavoices,hausa,female
VAM79,Malamin mu ya kira rajista da safe,/data/naijavoices/hausa/20240309153903-81-2344-500465-malamin-mu-ya-kira-rajista-da.wav,2.82,naijavoices,hausa,female
6N67R,Ka tabbata ka shuka shinkafa gobe!,/data/naijavoices/hausa/20240321094703-262-5136-1032027-ka-tabbata-ka-shuka-shinkafa-g.wav,3.36,naijavoices,hausa,female
ROPBS,Muna gudu a titi.,/data/naijavoices/hausa/20240321230916-246-4740-936829-muna-gudu-a-titi.wav,1.56,naijavoices,hausa,female
DZ08V,Malam ne ya kalli tashe bana.,/data/naijavoices/hausa/20240122063916-159-1285-273485-malam-ne-ya-kalli-tashe-bana.wav,1.74,naijavoices,hausa,male
7D9CW,Àwọn afọ́jú kan máa rí ìrànwọ́.,/data/naijavoices/yoruba/20240225105544-144-1676-432770-awon-afo-ju-kan-maa-ri-iranwo.wav,2.88,naijavoices,yoruba,male
76O9F,Emetụla tebụl ọrụ m aka!,/data/naijavoices/igbo/20231215201257-42-273-61836-emetla-tebl-r-m-aka.wav,2.58,naijavoices,igbo,male
8L35Y,Témi mú ọmọdébìnrin rẹ lọ sí ibi eré ìdárayá,/data/naijavoices/yoruba/20240219192418-145-1681-434120-temi-mu-omodebinrin-re-lo-si-i.wav,4.14,naijavoices,yoruba,male
WLMYL,Na ce ki cinye tuwon!,/data/naijavoices/hausa/20240121172837-66-2293-488228-na-ce-ki-cinye-tuwon.wav,1.98,naijavoices,hausa,female
W2W2H,"Ka na da 'ya'ya uku, gaskiya ne?",/data/naijavoices/hausa/20240209101048-69-2462-524245-ka-na-da-ya-ya-uku-gaskiya-ne.wav,1.74,naijavoices,hausa,male
21,Hewalɛ,/data/fisd/ga/GaMa21-JKkMXYQ0-Tmp008-XLdE5b.wav,2.0178125,Ashesi-Org_Financial-Inclusion-Speech-Dataset,ga,male
XXZ5O,Zan iya saka citta a zobo?,/data/naijavoices/hausa/20240324121519-254-4932-983035-zan-iya-saka-citta-a-zobo.wav,2.04,naijavoices,hausa,male
7RVRP,Gíláàsì ọkọ̀ jẹ ohun ẹlẹgẹ́.,/data/naijavoices/yoruba/20240228155206-137-1704-439590-gilaasi-oko-je-ohun-elege.wav,2.7,naijavoices,yoruba,male
02EVM,Otu n'ime uru ịcha ntutu gị bụ na ọ na-eme ka ị dị mma,/data/naijavoices/igbo/20240112075223-18-165-35785-otu-n-ime-uru-icha-ntutu-gi-bu.wav,3.66,naijavoices,igbo,male
NQ739,Ị ga-abịa hụ m n'ụlọọgwụ?,/data/naijavoices/igbo/20240323073441-183-3187-1206300-i-ga-abia-hu-m-n-uloogwu.wav,2.34,naijavoices,igbo,male
IBP6X,Ana sa hears a miya don ya yi ƙawri,/data/naijavoices/hausa/20240117095841-65-1899-476942-ana-sa-hears-a-miya-don-ya-yi.wav,2.22,naijavoices,hausa,male
25,Mahe credit,/data/fisd/ga/GaFm25-POSzikkg-Tmp006-PecGwM.wav,3.4978125,Ashesi-Org_Financial-Inclusion-Speech-Dataset,ga,female
BDJ65,Mun je gidan wasan kwaikwayo don kallon wasan kwaikwayo,/data/naijavoices/hausa/20240319113901-277-5521-1124401-mun-je-gidan-wasan-kwaikwayo-d.wav,3.66,naijavoices,hausa,female
20,Wɔ fee otransfer ɛ eha bo,/data/fisd/ga/GaFm20-PHwCLXFd-Tmp042-LUIwZO.wav,3.9178125,Ashesi-Org_Financial-Inclusion-Speech-Dataset,ga,female
MZLHM,Olú wà ní ọ́fíìsì olùdarí ẹ̀ka ìmọ̀ ẹ̀kọ́,/data/naijavoices/yoruba/20240321215324-223-4158-797257-olu-wa-ni-o-fiisi-oludari-e-ka.wav,4.02,naijavoices,yoruba,male
OPW23,Igbo bụ isiokwu kacha amasị m,/data/naijavoices/igbo/20240321134652-194-3437-1266148-igbo-bu-isiokwu-kacha-amasi-m.wav,3.12,naijavoices,igbo,male
LRMKP,Ilẹ̀ ọlọ́ràá yóò so dáradára tóbá yá.,/data/naijavoices/yoruba/20240112122425-130-1462-381445-ile-olo-raa-yoo-so-daradara-to.wav,2.16,naijavoices,yoruba,male
EOI8F,Za mu kai fanka gyara.,/data/naijavoices/hausa/20231228102230-80-579-115599-za-mu-kai-fanka-gyara.wav,2.16,naijavoices,hausa,male
O0456,Kin iya girki?,/data/naijavoices/hausa/20240323125906-255-4954-988195-kin-iya-girki.wav,1.38,naijavoices,hausa,female
7PUBP,Ị ga-ahụ ọtụtụ ụmụ nwaanyị rikruutu n'ebe m bi,/data/naijavoices/igbo/20231215131945-50-312-71123--ga-ah-tt-m-nwaany-rik.wav,3.12,naijavoices,igbo,female
IH8KP,Ụmụ nwaanyị anaghị arụ n'ụlọakụ ya,/data/naijavoices/igbo/20240103190224-51-308-70149-m-nwaany-anagh-ar-n-l-ak-ya.wav,2.76,naijavoices,igbo,male
02EVM,Nigeria ọ na eme ọchịchị onye kwuo uche ya?,/data/naijavoices/igbo/20240112112359-18-165-35993-nigeria-o-na-eme-ochichi-onye.wav,2.82,naijavoices,igbo,male
7USD5,Echi ọ ga-amasị m ka m na-asụ China.,/data/naijavoices/igbo/20240326064550-188-3273-1226874-echi-o-ga-amasi-m-ka-m-na-asu.wav,2.94,naijavoices,igbo,female
22,Nitsumɔ kpakpa,/data/fisd/ga/GaFm22-AAft7Raf-Tmp087-NWJ2mI.wav,2.8535,Ashesi-Org_Financial-Inclusion-Speech-Dataset,ga,female
08BB7,"Èè, nwa ahụ gbara agba .",/data/naijavoices/igbo/20240120212239-45-287-65137-ee-nwa-ahu-gbara-agba.wav,2.88,naijavoices,igbo,male
MXTT9,"Rárá, Citibank ni mo fẹ́.",/data/naijavoices/yoruba/20240320221630-212-3887-732188-ra-ra-citibank-ni-mo-fe.wav,2.46,naijavoices,yoruba,male
SJXWQ,Ṣé o máa bá mi fọ ùgbá náà fún mi?,/data/naijavoices/yoruba/20231230181046-58-658-215011-o-m-a-b-mi-f--gb-n--f-n-mi.wav,3.78,naijavoices,yoruba,female
VU1BN,Tani ninu yin ti o le ta Chess?,/data/naijavoices/yoruba/20231220190935-58-363-195422-tani-ninu-yin-ti-o-le-ta-chess.wav,2.22,naijavoices,yoruba,male
A7OTR,"Mba, agaghị m n'ama obodo",/data/naijavoices/igbo/20240326093718-184-3201-1209541-mba-agaghi-m-n-ama-obodo.wav,1.74,naijavoices,igbo,male
71YVX,Ị na-aga ahịa ịzụta ịsha?,/data/naijavoices/igbo/20240316061503-23-1049-323417-i-na-aga-ahia-izuta-isha.wav,2.58,naijavoices,igbo,female
SRYA7,Bàbá Adé ń ṣiṣẹ́ àgbẹ̀dẹ,/data/naijavoices/yoruba/20240321093221-216-3986-755892-baba-ade-n-sise-agbe-de.wav,2.82,naijavoices,yoruba,female
JSSHK,"Nkịta taa gị, ọ dị mkpa ka ị gba ọgwụ mgbochi",/data/naijavoices/igbo/20231207231624-27-67-13121-nkta-taa-g--d-mkp.wav,4.8,naijavoices,igbo,female
CYSTJ,Wani ci gaba a fasahar na'urar daidaita lantarki tana kan gaba,/data/naijavoices/hausa/20240112094009-67-1866-469012-wani-ci-gaba-a-fasahar-na-urar.wav,4.98,naijavoices,hausa,female
MJYPJ,Ile ọbịa bụ inabata ma ị nagide ndị ọzọ.,/data/naijavoices/igbo/20231215183657-30-238-53491-ile-ba-b-inabata-ma--nagid.wav,3.6,naijavoices,igbo,female
DTA8U,Ndị ọchịchị ahụ buru nsogbu ha gaa n'ụlọ ikpe,/data/naijavoices/igbo/20231215144854-50-311-70859-nd-chch-ah-buru-nsogbu-ha.wav,3.36,naijavoices,igbo,female
55,Ohe credits ɛɛ yɛ mɛɛ number nɔ,/data/fisd/ga/GaFm55-SApzUx9n-Tmp026-EbAzmv.wav,4.4778125,Ashesi-Org_Financial-Inclusion-Speech-Dataset,ga,female
0S58T,Ilimin sanin jiki da na sanin aikin jiki suna da amfani matuƙa a karatun ilimin likitanci.,/data/naijavoices/hausa/20240321065029-257-5007-1000906-ilimin-sanin-jiki-da-na-sanin.wav,6.6,naijavoices,hausa,male
7INXT,An sayar da dukkan dan kunnen dake wancan kantin.,/data/naijavoices/hausa/20240326064630-270-5328-1078001-an-sayar-da-dukkan-dan-kunnen.wav,3.36,naijavoices,hausa,female
0EPUT,"N'oge na-adịghị anya, a ga-emepụta ụgbọ ala na-efe efe.",/data/naijavoices/igbo/20231207134730-31-87-17996-n-oge-na-adgh-anya-a-ga.wav,4.5,naijavoices,igbo,female
22,Mɛni yaanɔ,/data/fisd/ga/GaFm22-AAft7Raf-Tmp100-swTFhE.wav,2.8735,Ashesi-Org_Financial-Inclusion-Speech-Dataset,ga,female
DEHOD,Teburun gefen godo yana kusa da godon.,/data/naijavoices/hausa/20240203151517-155-2370-506831-teburun-gefen-godo-yana-kusa-d.wav,3.84,naijavoices,hausa,male
38,Miiŋa nyɛ,/data/fisd/ga/GaFm38-LAhFcwdH-Tmp112-W4KfbP.wav,3.9978125,Ashesi-Org_Financial-Inclusion-Speech-Dataset,ga,female
4V3T2,Kusan wata guda aka kwashe ana gyara filin jirgin saman.,/data/naijavoices/hausa/20240131161622-156-2369-506456-kusan-wata-guda-aka-kwashe-ana.wav,4.14,naijavoices,hausa,female
070W7,Pápákọ̀ Òfurufú ni mo ti dé,/data/naijavoices/yoruba/20240113092047-58-1022-234027-papako-ofurufu-ni-mo-ti-de.wav,2.04,naijavoices,yoruba,female
18,Nɛgbɛ oyɔɔ,/data/fisd/ga/GaMa18-ED5pgbZA-Tmp108-MNXoNk.wav,8.6378125,Ashesi-Org_Financial-Inclusion-Speech-Dataset,ga,male
B9IEX,Gwongworo nsi kaa eji ewepu nsi di n'ụgbọelụ,/data/naijavoices/igbo/20240104074636-8-1016-321584-gwongworo-nsi-kaa-eji-ewepu-ns.wav,3.84,naijavoices,igbo,female
LWXI0,Kyankyasan sun ci sauran abincin.,/data/naijavoices/hausa/20240322000212-247-4757-941034-kyankyasan-sun-ci-sauran-abinc.wav,3.0,naijavoices,hausa,female
30,Miiŋa bo,/data/fisd/ga/GaMa30-CMwfvQeq-Tmp113-UxAdMr.wav,4.7535,Ashesi-Org_Financial-Inclusion-Speech-Dataset,ga,male
BQQNX,Okasha zai yi dab'i gobe.,/data/naijavoices/hausa/20240225130644-166-2618-681804-okasha-zai-yi-dab-i-gobe.wav,1.62,naijavoices,hausa,female
5FNUT,"Bẹ́ẹ̀ni, mo rí ọkọ̀ omi ńlá náà.",/data/naijavoices/yoruba/20240128161416-130-2096-464129-be-e-ni-mo-ri-oko-omi-nla-naa.wav,2.82,naijavoices,yoruba,female
VTIS3,"Ihe e ji ama obodo mepere emepe gụnyere ọkụ eletriki, mmiri, ụzọ awara awara, wdg.",/data/naijavoices/igbo/20240211230902-106-1925-528764-ihe-e-ji-ama-obodo-mepere-emep.wav,8.46,naijavoices,igbo,male
53,Yoo minu,/data/fisd/ga/GaFm53-JK1X0aK5-Tmp057-Ld44DR.wav,6.5578125,Ashesi-Org_Financial-Inclusion-Speech-Dataset,ga,female
20,Hesɛɛ,/data/fisd/ga/GaFm20-NTdKpCpc-Tmp095-VXJmYS.wav,5.4335,Ashesi-Org_Financial-Inclusion-Speech-Dataset,ga,female
ILH1L,Ha nyere nna ha àkwámoozu kwesịrị ekwesị,/data/naijavoices/igbo/20240208160348-109-2047-554320-ha-nyere-nna-ha-akwamoozu-kwes.wav,3.42,naijavoices,igbo,male
JKPBW,Ọjọ́ Àbámẹ́ta ti ọ̀sẹ̀ tó kọjá ṣe ìgbéyàwó.,/data/naijavoices/yoruba/20240309232920-141-1547-401796-ojo-abame-ta-ti-o-se-to-koja-s.wav,4.86,naijavoices,yoruba,female
24,Kpakpa,/data/fisd/ga/GaMa24-RAwP4WSY-Tmp061-Kz4bqk.wav,2.6178125,Ashesi-Org_Financial-Inclusion-Speech-Dataset,ga,male
1KRXX,Ṣíṣe àyẹ̀wò ìtàn ìbẹ̀rẹ̀ fi ìfaradà àṣà àṣà hàn.,/data/naijavoices/yoruba/20240311191702-137-1527-397199-sise-aye-wo-itan-ibe-re-fi-ifa.wav,6.48,naijavoices,yoruba,female
R6KN4,Ọria nchefu ya ga-akawanye njọ.,/data/naijavoices/igbo/20240320062959-178-3066-1177070-oria-nchefu-ya-ga-akawanye-njo.wav,2.04,naijavoices,igbo,male
SSYVQ,Malam Sani ne,/data/naijavoices/hausa/20240121082829-159-1291-275029-malam-sani-ne.wav,1.08,naijavoices,hausa,male
ETNPN,Ndị gọọmentị na-akwado ụlọ akụ mmepe.,/data/naijavoices/igbo/20240112112300-99-1065-327265-ndi-goomenti-na-akwado-ulo-aku.wav,5.94,naijavoices,igbo,female
5OB21,Jọjọ ni lati lọ sí ilẹ̀-ìwọsàn lánà fún awọn dòkìtà láti nú etí rẹ.,/data/naijavoices/yoruba/20240226124002-72-528-206500-jojo-ni-lati-lo-si-ile-iwosan.wav,8.1,naijavoices,yoruba,female
24PDV,Ụmụ ọhụrụ na-achọ itinye ihe niile n'ọnụ ha,/data/naijavoices/igbo/20240114181942-23-1050-323861-umu-ohuru-na-acho-itinye-ihe-n.wav,3.0,naijavoices,igbo,female
DYTBF,Kò sí irinṣẹ́ kápíntà tí ẹ ò ní rí ní ibi iṣẹ́ kápíntà tó mọ iṣẹ́ ẹ̀ níṣẹ́,/data/naijavoices/yoruba/20240218172449-137-2232-589942-ko-si-irinse-kapinta-ti-e-o-ni.wav,7.02,naijavoices,yoruba,male
26,Shika enyiɛ i yɔɔ,/data/fisd/ga/GaFm26-HBHGunEq-Tmp002-JJde9i.wav,7.0735,Ashesi-Org_Financial-Inclusion-Speech-Dataset,ga,female
W8MQ2,Awọn okun waya ti sun,/data/naijavoices/yoruba/20240320184750-226-4244-817970-awon-okun-waya-ti-sun.wav,2.88,naijavoices,yoruba,female
1G6L9,A gbasiri m ike ugbua,/data/naijavoices/igbo/20240319195118-176-3020-1166175-a-gbasiri-m-ike-ugbua.wav,2.4,naijavoices,igbo,female
EH8GH,Kashiyan ya ba ni kuɗi mai yawa,/data/naijavoices/hausa/20240108153736-156-1378-295707-kashiyan-ya-ba-ni-ku-i-mai-yaw.wav,2.4,naijavoices,hausa,female
A7OTR,Cabbages na carrots dị ọnụ ala na Ahịa Ọhụrụ Na lokoja,/data/naijavoices/igbo/20240323072826-184-3208-1211236-cabbages-na-carrots-di-onu-ala.wav,4.02,naijavoices,igbo,male
3UZBI,"Eh, in kikasha fanadol ciwon kan zai ragu",/data/naijavoices/hausa/20240110152611-54-1829-317020-eh-in-kikasha-fanadol-ciwon-ka.wav,2.82,naijavoices,hausa,male
7TZW9,Ọmọ ìlú oguta ni Ifeoma.,/data/naijavoices/yoruba/20240323150529-234-4422-860527-omo-ilu-oguta-ni-ifeoma.wav,2.16,naijavoices,yoruba,male
S24CX,"Bí èyàn bá dúró sí inú oòrùn títí, bó pẹ́ bó yá, ibòji, á báa níbẹ̀.",/data/naijavoices/yoruba/20240102094313-70-769-224681-b--y-n-b-d-r-s-in-o-r-n-t-t-b.wav,5.46,naijavoices,yoruba,male
98RNY,Gwamnatin zai raba ma masu ciki folic acid,/data/naijavoices/hausa/20240417233435-265-5219-1051808-gwamnatin-zai-raba-ma-masu-cik.wav,3.3,naijavoices,hausa,male
6P3CR,turanci kadai me za ka iya Yi a Nan.,/data/naijavoices/hausa/20240322060133-249-4812-954236-turanci-kadai-me-za-ka-iya-yi.wav,2.34,naijavoices,hausa,female
O0456,Yanzu biro naira hamsin ne.,/data/naijavoices/hausa/20240320224957-255-4962-990240-yanzu-biro-naira-hamsin-ne.wav,2.52,naijavoices,hausa,female
PDKCU,Falo yana karɓar baƙi a cikin gida.,/data/naijavoices/hausa/20240226171407-165-2586-674107-falo-yana-kar-ar-ba-i-a-cikin.wav,2.94,naijavoices,hausa,female
AEAOI,Emeka zụtara maggi naira iri abụọ.,/data/naijavoices/igbo/20240111162816-34-1750-371643-emeka-zutara-maggi-naira-iri-a.wav,3.84,naijavoices,igbo,female
3XJ24,ɗaliban sun Saka rigar makaranta,/data/naijavoices/hausa/20231228101305-54-432-107723-aliban-sun-saka-rigar-makaran.wav,2.22,naijavoices,hausa,male
ZZFYX,Ịrụ n'ụlọ nkà nwereike butere mmadụ ngọzi maọbụ abụmọnụ,/data/naijavoices/igbo/20240326103537-204-3677-1323815-iru-n-ulo-nka-nwereike-butere.wav,4.26,naijavoices,igbo,male
DNCVK,Ịmụ nri na nri nri ga-emeghe anya gị maka mmetụta ị na-eri.,/data/naijavoices/igbo/20240228202204-99-2733-696045-imu-nri-na-nri-nri-ga-emeghe-a.wav,4.5,naijavoices,igbo,female
L054W,Má ṣe rí àwọn òbí rẹ fín láíláí!,/data/naijavoices/yoruba/20240304153129-92-2857-653001-ma-se-ri-awon-obi-re-fin-laila.wav,2.64,naijavoices,yoruba,male
23,Nyimpa nnyɛ,/data/fisd/akan/FantiFm23-FElU1SoD-Tmp083-FkPNVA.wav,6.3735,Ashesi-Org_Financial-Inclusion-Speech-Dataset,akan,female
ISZSV,A tashar jirgin ƙasa ake shiga jirgin ƙasa.,/data/naijavoices/hausa/20240126102145-166-1425-307021-a-tashar-jirgin-asa-ake-shiga.wav,2.88,naijavoices,hausa,female
EW1KG,Ify ga azụta elekere aka echi n'ụlọ azụmahịa,/data/naijavoices/igbo/20240325000204-186-3253-1222163-ify-ga-azuta-elekere-aka-echi.wav,4.74,naijavoices,igbo,female
UMM96,Akpọrọ ya ọkụ mgbe egidere ya n'osi.,/data/naijavoices/igbo/20240227115058-102-1094-334317-akporo-ya-oku-mgbe-egidere-ya.wav,2.82,naijavoices,igbo,male
6YK6J,Ọbu maka na asabeghim ebe mu na awụ ahu.,/data/naijavoices/igbo/20240113003433-109-1131-343189-obu-maka-na-asabeghim-ebe-mu-n.wav,3.9,naijavoices,igbo,female
1UVJZ,Nnanna gara na sinima maka ihe nkiri omume.,/data/naijavoices/igbo/20231215164915-30-239-53655-nnanna-gara-na-sinima-maka-ihe.wav,4.02,naijavoices,igbo,female
44FJ6,ọ̀kọ̀ ofúrufú wọ́n lati rà,/data/naijavoices/yoruba/20240309152946-146-1599-414484-o-ko-ofurufu-wo-n-lati-ra.wav,0.78,naijavoices,yoruba,male
5GUZE,Zasu tuhume shi a kan satar akuya ranar Litinin.,/data/naijavoices/hausa/20240224123810-164-2406-515438-zasu-tuhume-shi-a-kan-satar-ak.wav,4.02,naijavoices,hausa,male
PBLQ4,Ṣé o ṣẹ̀ṣẹ̀ sí sọ́ọ̀bù yìí ni?,/data/naijavoices/yoruba/20240308005906-135-1516-394406-se-o-se-se-si-so-o-bu-yii-ni.wav,2.16,naijavoices,yoruba,female
24,Mtn,/data/fisd/akan/FantiMa24-AEOrMEGK-Tmp040-STLrMZ.wav,5.5335,Ashesi-Org_Financial-Inclusion-Speech-Dataset,akan,male
0CTVG,A ganinka wace sana'a ce tafi wahala?,/data/naijavoices/hausa/20240122204043-65-2446-520450-a-ganinka-wace-sana-a-ce-tafi.wav,2.22,naijavoices,hausa,male
