specialty,Domain,o1,gpt-4o,claude-3-5-sonnet,llama3-405b-instruct-maas,gpt-4,Meta-Llama-3-70B-Instruct,claude-3-opus,gemini-ultra,claude-3-7-sonnet,gemini-2.0-flash,gemini-2.0-pro-exp,gpt-4o-mini,llama-4-maverick-17b-128e-it,phi4,claude-3-haiku,qwen-2.5-32b,Llama-3.3-70B,claude-3-sonnet,Phi-3-medium-128k-instruct,gemma-3-27b-it,Mixtral-8x7B-Instruct-v0.1,Phi-3-mini-4k-instruct,gemini-pro-1.5,Meta-Llama-3.1-8B-Instruct,Phi-3-mini-128k-instruct,gemma2-27b,Llama3-OpenBioLLM-70B,JSL-MedLlama-3-8B-v2.0,phi-4-mini-4k-instruct,Mistral-7B-Instruct-v0.3,gemma2-9b,gpt-3.5-turbo,meditron,pmc,Mistral-7B-Instruct-v0.2,Meta-Llama-3-8B,Llama3-OpenBioLLM-8B,deepseek-distill-qwen32b,gemma2-2b
Emergency_Medicine,Medicine,0.87,0.91,0.83,0.83,0.78,0.61,0.74,0.70,0.78,0.65,0.70,0.70,0.96,0.65,0.74,0.78,0.74,0.83,0.74,0.78,0.70,0.78,0.61,0.52,0.78,0.74,0.74,0.48,0.70,0.61,0.65,0.61,0.52,0.61,0.61,0.57,0.35,0.43,0.43
Neurology,Medicine,0.88,0.85,0.83,0.79,0.85,0.81,0.82,0.82,0.80,0.79,0.79,0.78,0.80,0.74,0.70,0.69,0.74,0.70,0.75,0.72,0.69,0.62,0.64,0.67,0.62,0.60,0.68,0.62,0.54,0.59,0.56,0.62,0.58,0.54,0.55,0.56,0.48,0.47,0.35
Neurosurgery,Surgery,0.94,0.90,0.87,0.84,0.84,0.84,0.84,0.84,0.84,0.81,0.74,0.81,0.87,0.65,0.68,0.77,0.84,0.65,0.61,0.65,0.61,0.71,0.61,0.58,0.68,0.58,0.71,0.48,0.65,0.52,0.58,0.42,0.52,0.65,0.39,0.48,0.55,0.52,0.32
Ophthalmology,Surgery,0.88,0.86,0.82,0.84,0.82,0.82,0.80,0.80,0.80,0.74,0.77,0.68,0.76,0.73,0.72,0.72,0.84,0.61,0.67,0.71,0.59,0.63,0.62,0.68,0.60,0.64,0.72,0.60,0.59,0.5,0.64,0.56,0.58,0.54,0.48,0.45,0.45,0.53,0.33
General_Surgery,Surgery,0.87,0.86,0.84,0.84,0.80,0.78,0.82,0.80,0.81,0.78,0.78,0.78,0.77,0.76,0.73,0.72,0.74,0.70,0.70,0.70,0.61,0.62,0.64,0.67,0.61,0.57,0.63,0.60,0.54,0.5,0.54,0.58,0.54,0.48,0.52,0.48,0.43,0.44,0.34
Dermatology,Medicine,0.83,0.86,0.86,0.76,0.83,0.76,0.69,0.83,0.76,0.76,0.76,0.79,0.72,0.76,0.72,0.72,0.69,0.66,0.69,0.66,0.55,0.55,0.72,0.76,0.48,0.59,0.66,0.62,0.45,0.55,0.69,0.62,0.55,0.52,0.48,0.72,0.45,0.28,0.38
Cardiology,Medicine,0.86,0.86,0.83,0.81,0.83,0.77,0.77,0.80,0.81,0.80,0.81,0.76,0.75,0.76,0.72,0.70,0.78,0.69,0.70,0.72,0.62,0.59,0.60,0.67,0.60,0.59,0.65,0.61,0.53,0.49,0.63,0.59,0.51,0.41,0.42,0.47,0.45,0.43,0.28
Infectious_Disease,Medicine,0.82,0.77,0.77,0.78,0.76,0.79,0.76,0.74,0.76,0.74,0.74,0.71,0.70,0.73,0.68,0.71,0.71,0.68,0.71,0.68,0.63,0.59,0.59,0.65,0.58,0.60,0.66,0.60,0.52,0.53,0.61,0.57,0.58,0.53,0.51,0.57,0.52,0.46,0.43
Otolaryngology,Surgery,0.79,0.83,0.86,0.76,0.81,0.79,0.74,0.84,0.79,0.78,0.74,0.79,0.72,0.64,0.59,0.76,0.72,0.74,0.69,0.62,0.62,0.59,0.64,0.67,0.53,0.59,0.74,0.53,0.43,0.48,0.67,0.62,0.55,0.5,0.4,0.55,0.41,0.43,0.33
Orthopedic_Surgery,Surgery,0.86,0.84,0.80,0.82,0.73,0.80,0.73,0.71,0.71,0.76,0.78,0.71,0.71,0.71,0.69,0.69,0.71,0.69,0.59,0.76,0.55,0.55,0.61,0.65,0.49,0.73,0.67,0.61,0.59,0.49,0.57,0.63,0.47,0.43,0.51,0.47,0.55,0.47,0.29
Urology,Surgery,0.96,0.83,0.83,0.88,0.79,0.83,0.79,0.75,0.83,0.75,0.75,0.75,0.75,0.67,0.67,0.67,0.83,0.62,0.67,0.75,0.67,0.62,0.58,0.58,0.54,0.71,0.79,0.58,0.38,0.46,0.46,0.58,0.42,0.33,0.46,0.42,0.29,0.5,0.25
Obstetrics_and_Gynecology,Surgery,0.78,0.78,0.77,0.73,0.72,0.72,0.75,0.73,0.75,0.72,0.72,0.67,0.69,0.68,0.67,0.66,0.70,0.65,0.64,0.65,0.60,0.58,0.59,0.59,0.57,0.60,0.59,0.54,0.51,0.51,0.57,0.53,0.46,0.43,0.49,0.44,0.43,0.43,0.37
Pediatrics,Surgery,0.79,0.77,0.75,0.74,0.74,0.73,0.72,0.72,0.70,0.65,0.65,0.68,0.69,0.68,0.63,0.65,0.67,0.62,0.67,0.65,0.61,0.62,0.59,0.61,0.61,0.52,0.60,0.56,0.52,0.54,0.48,0.56,0.51,0.47,0.52,0.47,0.47,0.47,0.34
Hematology,Pathology,0.80,0.82,0.79,0.79,0.83,0.76,0.81,0.85,0.78,0.66,0.67,0.76,0.73,0.70,0.70,0.52,0.66,0.68,0.72,0.76,0.62,0.61,0.62,0.59,0.61,0.17,0.34,0.51,0.56,0.52,0.16,0.66,0.47,0.45,0.49,0.51,0.41,0.53,0.18
