specialty,Domain,OpenAI-03,OpenAI-o1,gpt-4o,claude-3-5-sonnet,gemini-2.5-flash,llama3-405b-instruct-maas,gpt-4,claude-3-7-sonnet,gemini-ultra,claude-3-opus,Meta-Llama-3-70B-Instruct,gemini-2.0-flash,gemini-2.0-pro-exp,gpt-4o-mini,llama-4-maverick-17b-128e-it,Llama-3.3-70B,phi4,gemma-3-27b-it,qwen-2.5-32b,claude-3-haiku,Phi-3-medium-128k-instruct,claude-3-sonnet,Llama3-OpenBioLLM-70B,Meta-Llama-3.1-8B-Instruct,Mixtral-8x7B-Instruct-v0.1,gemini-pro-1.5,Phi-3-mini-4k-instruct,Phi-3-mini-128k-instruct,gemma2-27b,JSL-MedLlama-3-8B-v2.0,gpt-3.5-turbo,gemma2-9b,phi-4-mini-4k-instruct,meditron-7b,Mistral-7B-Instruct-v0.3,Meta-Llama-3-8B,PMC-LLAMA-7B-FT,Mistral-7B-Instruct-v0.2,Llama3-OpenBioLLM-8B,deepseek-distill-qwen32b,gemma2-2b
Emergency_Medicine,Medicine,0.96,0.87,0.91,0.83,0.83,0.83,0.78,0.78,0.7,0.74,0.61,0.65,0.7,0.7,0.96,0.74,0.65,0.78,0.78,0.74,0.74,0.83,0.74,0.52,0.7,0.61,0.78,0.78,0.74,0.48,0.61,0.65,0.7,0.52,0.61,0.57,0.61,0.61,0.35,0.43,0.43
Neurology,Medicine,0.89,0.88,0.85,0.83,0.87,0.79,0.85,0.8,0.82,0.82,0.81,0.79,0.79,0.78,0.8,0.74,0.74,0.72,0.69,0.7,0.75,0.7,0.68,0.67,0.69,0.64,0.62,0.62,0.6,0.62,0.62,0.56,0.54,0.58,0.59,0.56,0.54,0.55,0.48,0.47,0.35
Neurosurgery,Surgery,0.94,0.94,0.9,0.87,0.9,0.84,0.84,0.84,0.84,0.84,0.84,0.81,0.74,0.81,0.87,0.84,0.65,0.65,0.77,0.68,0.61,0.65,0.71,0.58,0.61,0.61,0.71,0.68,0.58,0.48,0.42,0.58,0.65,0.52,0.52,0.48,0.65,0.39,0.55,0.52,0.32
Ophthalmology,Surgery,0.9,0.88,0.86,0.82,0.85,0.84,0.82,0.8,0.8,0.8,0.82,0.74,0.77,0.68,0.76,0.84,0.73,0.71,0.72,0.72,0.67,0.61,0.72,0.68,0.59,0.62,0.63,0.6,0.64,0.6,0.56,0.64,0.59,0.58,0.5,0.45,0.54,0.48,0.45,0.53,0.33
General_Surgery,Surgery,0.88,0.87,0.86,0.84,0.82,0.84,0.8,0.81,0.8,0.82,0.78,0.78,0.78,0.78,0.77,0.74,0.76,0.7,0.72,0.73,0.7,0.7,0.63,0.67,0.61,0.64,0.62,0.61,0.57,0.6,0.58,0.54,0.54,0.54,0.5,0.48,0.48,0.52,0.43,0.44,0.34
Dermatology,Medicine,0.9,0.83,0.86,0.86,0.79,0.76,0.83,0.76,0.83,0.69,0.76,0.76,0.76,0.79,0.72,0.69,0.76,0.66,0.72,0.72,0.69,0.66,0.66,0.76,0.55,0.72,0.55,0.48,0.59,0.62,0.62,0.69,0.45,0.55,0.55,0.72,0.52,0.48,0.45,0.28,0.38
Cardiology,Medicine,0.87,0.86,0.86,0.83,0.85,0.81,0.83,0.81,0.8,0.77,0.77,0.8,0.81,0.76,0.75,0.78,0.76,0.72,0.7,0.72,0.7,0.69,0.65,0.67,0.62,0.6,0.59,0.6,0.59,0.61,0.59,0.63,0.53,0.51,0.49,0.47,0.41,0.42,0.45,0.43,0.28
Infectious_Disease,Medicine,0.84,0.82,0.77,0.77,0.79,0.78,0.76,0.76,0.74,0.76,0.79,0.74,0.74,0.71,0.7,0.71,0.73,0.68,0.71,0.68,0.71,0.68,0.66,0.65,0.63,0.59,0.59,0.58,0.6,0.6,0.57,0.61,0.52,0.58,0.53,0.57,0.53,0.51,0.52,0.46,0.43
Otolaryngology,Surgery,0.81,0.79,0.83,0.86,0.76,0.76,0.81,0.79,0.84,0.74,0.79,0.78,0.74,0.79,0.72,0.72,0.64,0.62,0.76,0.59,0.69,0.74,0.74,0.67,0.62,0.64,0.59,0.53,0.59,0.53,0.62,0.67,0.43,0.55,0.48,0.55,0.5,0.4,0.41,0.43,0.33
Urology,Surgery,0.92,0.96,0.83,0.83,0.83,0.88,0.79,0.83,0.75,0.79,0.83,0.75,0.75,0.75,0.75,0.83,0.67,0.75,0.67,0.67,0.67,0.62,0.79,0.58,0.67,0.58,0.62,0.54,0.71,0.58,0.58,0.46,0.38,0.42,0.46,0.42,0.33,0.46,0.29,0.5,0.25
Orthopedic_Surgery,Surgery,0.84,0.86,0.84,0.8,0.75,0.82,0.73,0.71,0.71,0.73,0.8,0.76,0.78,0.71,0.71,0.71,0.71,0.76,0.69,0.69,0.59,0.69,0.67,0.65,0.55,0.61,0.55,0.49,0.73,0.61,0.63,0.57,0.59,0.47,0.49,0.47,0.43,0.51,0.55,0.47,0.29
Obstetrics_and_Gynecology,Surgery,0.79,0.78,0.78,0.77,0.75,0.73,0.72,0.75,0.73,0.75,0.72,0.72,0.72,0.67,0.69,0.7,0.68,0.65,0.66,0.67,0.64,0.65,0.59,0.59,0.6,0.59,0.58,0.57,0.6,0.54,0.53,0.57,0.51,0.46,0.51,0.44,0.43,0.49,0.43,0.43,0.37
Pediatrics,Surgery,0.8,0.79,0.77,0.75,0.74,0.74,0.74,0.7,0.72,0.72,0.73,0.65,0.65,0.68,0.69,0.67,0.68,0.65,0.65,0.63,0.67,0.62,0.6,0.61,0.61,0.59,0.62,0.61,0.52,0.56,0.56,0.48,0.52,0.51,0.54,0.47,0.47,0.52,0.47,0.47,0.34
Hematology,Pathology,0.8,0.8,0.82,0.79,0.76,0.79,0.83,0.78,0.85,0.81,0.76,0.66,0.67,0.76,0.73,0.66,0.7,0.76,0.52,0.7,0.72,0.68,0.34,0.59,0.62,0.62,0.61,0.61,0.17,0.51,0.66,0.16,0.56,0.47,0.52,0.51,0.45,0.49,0.41,0.53,0.18
