Unnamed: 0,sample_id,split,age_group,gender,discipline,clinical_experience,country,question_type,prompt,question,answer_options,correct_answer,answer_rationale,question_source,specialty,region_specific,neg_percent,quality,rated_african,rated_correct,rated_omission,rated_hallucination,rated_reasonable,rated_harmful,rated_bias,preds
10,2d60b396e4008a37d83f4840e9dca61a8b4169242ce12a693969859647586264,train,26-40,Male,Medicine,Licensed Professional,NG,mcq,,"A 65-year-old man presents with dyspnea, fatigue, and peripheral edema at the hospital. He has had diabetes for more than 20 years. On examination, he is afebrile; other vitals are blood pressure 147/92 mm Hg, heart rate 95 bpm, and respiratory rate 25/min. Physical exam notes 4+ pitting edema in both legs, increased jugular venous pressure, S3 heart sound, and rales. The patient’s laboratory values are sodium 145 mmol/L, potassium 4.7 mmol/L, magnesium 1.2 mmol/L, and glucose 4.3 mmol/L. The patient has a history of hypertension and hypercholesterolemia. He is treated with furosemide and stabilized. On discharge, he is given medication with alpha-adrenergic and beta-adrenergic activity for treatment. Which of the following is the most likely indication?","{""option1"": ""Septic shock"", ""option2"": ""Hypertensive crisis"", ""option3"": ""Acute myocardial infarction"", ""option4"": ""Heart failure"", ""option5"": ""Dysrhythmia""}",option4,"Carvedilol is a beta-blocker with an alpha-blocking activity associated with reduced mortality in patients with heart failure.

Carvedilol is indicated for treating hypertension, heart failure, and left ventricular dysfunction.

Beta-adrenergic blocking agents usually are not given specifically with regard to meals or the fullness or emptiness of the stomach.

Other agents associated with reduced mortality in patients with heart failure include angiotensin-converting enzyme inhibitors, isosorbide dinitrate, carvedilol, bisoprolol, and metoprolol succinate.",Mdcn,Cardiology,,0.08,,,,,,,,,
11,2f1f3304aaec1fffd4ec6b7941c9177064dd01d3f7b623d9754f8973eebfd1c2,train,19-25,Male,Medicine,Student,NG,mcq,,"A 19-year-old female seeks elective pregnancy termination six weeks subsequent to the anticipated (missed) onset of her menstrual cycle. She has a history of regular menstruation transpiring every 28 days. Pregnancy is validated via β-human chorionic gonadotropin (β-hCG), with ultrasound affirming the anticipated gestational age. In consideration of this patient's circumstances, what method of pregnancy termination would be both safe and efficacious at this juncture?","{""option1"": ""Suction dilation and curettage (D"", ""option2"": ""Dilation and evacuation (D"", ""option3"": ""Hypertonic saline infusion"", ""option4"": ""15-methyl \u03b1-prostaglandin injectio"", ""option5"": ""Hysterotomy""}",option1,"Surgical abortion stands as one of the safest medical procedures, boasting a minimal serious complication rate of less than 1% during the first trimester, with a mortality rate merely a fraction of that associated with term delivery. Suction dilation and curettage represent the preferred method during the initial trimester. Internationally, the combination of the oral agent RU-486 followed by prostaglandin injection has demonstrated remarkable efficacy and safety, particularly within European clinical trials, proving effective up to approximately 9 weeks of gestation. Additionally, 15-methyl α-prostaglandin serves as a viable intramuscular abortifacient, alongside options such as prostaglandin E2 suppositories or intraamniotic prostaglandin F2α for second-trimester induction of preterm labor. In light of safety concerns, intraamniotic injection of hypertonic saline is no longer deemed suitable due to its heightened risk of serious complications, including mortality, hyperosmolar crisis, cardiac failure, peritonitis, hemorrhage, and coagulation abnormalities. Thus, it is imperative to utilize superior alternatives and refrain from saline administration. Dilation and evacuation (D",Niger Delta University,Obstetrics_and_Gynecology,,0.0,,,,,,,,,
12,f258e6f814c7bb6a895c42d60ef9aeccb6de90e692cbb4f26a6531b7f029d18f,train,19-25,Female,Medicine,Student,KE,mcq,,"A 25 year old female presented to the local health center with complaints of increased appetite, weight loss and heat intolerance. On examination she had palmar erythema and proptosis. Which of the following tests would not be useful when diagnosing her condition?","{""option1"": ""CT scan of the brain"", ""option2"": ""Thyroid scan"", ""option3"": ""Thyroid function tests"", ""option4"": ""TSH receptor antibodies"", ""option5"": ""Echocardiogram""}",option5,"While hyperthyroidism can lead to certain cardiac manifestations (such as tachycardia, atrial fibrillation, and heart failure), an echocardiogram is not typically performed as a routine diagnostic test for hyperthyroidism. If there are specific cardiac symptoms or concerns, further cardiac evaluation may be warranted, but it would not be one of the primary tests used to diagnose underlying cause of hyperthyroidism.",Moi University,Internal_Medicine,,0.0,,,,,,,,,
13,6dcb4d16f55e71c6fefa5f36b6fc515c49c03080b40187ef1aa5342c254af944,train,19-25,Male,Medicine,Student,TZ,mcq,,"n informing a couple that their newborn has Down syndrome, there is a specific, relatively limited amount of information that the consulting physician should give immediately. The rest can be discussed at a later time. Which of the following best explains the purpose of using this approach to disclosure?","{""option1"": ""Allowing the couple's primary care physician to discuss most of the information with them"", ""option2"": ""Allowing the parents time to tell other family members"", ""option3"": ""Delaying parental distress until the information is completely disclosed"", ""option4"": ""Disclosing the most important information so that it can be understood as fully as possible"", ""option5"": ""Influencing the parents' course of action about what is medically most appropriate""}",option4,"The purpose of providing a specific, relatively limited amount of information immediately when informing a couple that their newborn has Down syndrome is to (D) disclose the most important information so that it can be understood as fully as possible.","Federation Of State Medical  Boards Of The United States, Inc. (Fsmb), And National  Board Of Medical Examiners® (Nbme®)",Family_Medicine,,1.0,,,,,,,,,
14,30b595aee7434fa67c63eca962cf58585e67633fb7b38aafa415f9de84d06c19,train,<18yrs,Male,Medicine,Student,NG,mcq,,What pathological condition is associated with the formation of Lewy bodies in brain cells?,"{""option1"": ""Alzheimer\u2019s disease"", ""option2"": ""Parkinson\u2019s disease"", ""option3"": ""Multiple sclerosis"", ""option4"": ""Amyotrophic lateral sclerosis"", ""option5"": ""Huntington\u2019s disease""}",option2,"The correct answer is (B) Parkinson’s disease. Lewy bodies are abnormal aggregates of protein that develop inside nerve cells, contributing to Parkinson’s disease.",Afe Babalola University,Pathology,,0.0,,,,,,,,,
15,01c2bc0aaf7289a61505d66219fef7481e8986ec3c2401aeb1cc1e6a85e7b50f,train,26-40,Male,Medicine,Licensed Professional,NG,mcq,,"A 65-year-old man presents with difficulty controlling his bladder and a feeling that his ""bladder is still full"" after urination. He denies having burning with urination. The patient denies recent weight loss, hematochezia, or erectile dysfunction. There is no suprapubic tenderness on physical examination. He is diagnosed with benign prostatic hyperplasia and is prescribed a 5 alpha-reductase inhibitor. Which of the following conditions is also treated with this medication?","{""option1"": ""Turner syndrome"", ""option2"": ""Prader Willi syndrome"", ""option3"": ""Addison disease"", ""option4"": ""Androgenic alopecia"", ""option5"": ""Horner syndrome""}",option4,"Finasteride is a steroid inhibitor of the enzyme 5-alpha reductase.

By inhibiting 5-alpha reductase, finasteride can inhibit the synthesis of dihydrotestosterone, the active androgen in the prostate.

Finasteride is used to treat benign prostatic hyperplasia, but its effects often take months.

It is also used to treat male pattern baldness.",Mdcn,Endocrinology,,0.08,,,,,,,,,
16,80baa376480282e4d8c8fddeb9d0df8cd4bd0749e8cc63cb8d629e8c4ff5e406,train,19-25,Female,Nursing,Licensed Professional,NG,mcq,,A 2-year-old boy who you suspect has atopic dermatitis presents with areas of erythema coupled with itchy blisters on his scalp and cheeks. The most appropriate first-line management is:,"{""option1"": ""Phototherapy"", ""option2"": ""Immunosuppressant ointment"", ""option3"": ""Emollient and steroid ointment"", ""option4"": ""Oral immunosuppressant therapy"", ""option5"": ""Wet wraps""}",option3,"In the first instance, the use of emollients (C) to prevent dry skin coupled with the application of topical steroid preparations, in areas where there is active disease (e.g. erythematous areas), will decrease discomfort and itch. Furthermore, emollients can also reduce the quantity and potency of topical steroids needed.Other types of therapy include:• antibiotics, for staphylococcal infections;• antihistamines, to help control itch;• wet wraps (E) (special bandaging techniques; wet bandages are applied over either steroid cream or weak antiseptic and then covered with dry stockinet to prevent itching. Alleviates discomfort and provides hydration to skin);• occlusivebandaging.For severe atopic dermatitis, the following treatment regimens may be considered:• phototherapy(A);• oral immunosuppressant (D) and cytotoxic therapy – not indicated inchildhood disease;• topical immunosuppressant preparations (B) have been shown to be beneficial in children as well as adults.Therefore, answer (C) is the most appropriate first step in managing this patient.",500 Single Best Answers In Medicine,Dermatology,,0.0,,,,,,,,,
17,5ee17125f348573c28767b7e870019bcee2339cb05db70fbaf8f17a92fe2240e,test,19-25,Female,Medicine,Student,NG,mcq,,"A patient presents with severe neck pain, weakness in the left arm and hand, and numbness in the left thumb and index finger. What nerve root is most likely involved in this presentation?","{""option1"": ""C5"", ""option2"": ""C6"", ""option3"": ""C7"", ""option4"": ""C8"", ""option5"": ""T1""}",option2,Damage or irritation of C6 root can cause numbness and tingling in the thumb and index finger.,University Of Abuja,Other,,0.0,True,,5.0,0.0,0.0,5.0,0.0,0.0,
18,439154b33252e23efc40b29b9dbfa972542dcdb5e1adf34214d52edaec4d8266,train,19-25,Female,Medicine,Student,NG,mcq,,Each taste bud includes a group of modified epithelial cells which are the taste cells(gustatory cells) ,"{""option1"": ""true"", ""option2"": ""false"", ""option3"": ""N/A"", ""option4"": ""N/A"", ""option5"": ""N/A""}",option1,Yes each taste is a group of modified epithelial cells of the tongue which are taste cells. ,"Ebonyi State University, Abakaliki, Ebonyi State, Nigeria. Hardcopy Mcq Past Questions",Other,,0.2,,,,,,,,,
19,a64179018aade35ab589d3e6dc3bd2bdc06fd5cdfaaab633911e653dada3ff07,train,19-25,Male,Medicine,Intern,NG,mcq,,"Which condition is characterized by the presence of blood in the urine, often due to kidney inflammation, infection, or injury?","{""option1"": ""Nephrotic syndrome"", ""option2"": ""Hematuria"", ""option3"": ""Pyelonephritis"", ""option4"": ""Renal failure"", ""option5"": ""Glomerulonephritis""}",option2,"Hematuria refers to the presence of blood in the urine, which can result from various causes like urinary tract infections, kidney stones, or kidney diseases.",Ubth,Internal_Medicine,,0.82,,,,,,,,,
