sample_id,question,rationale,answer,A,B,C,D,E,outputs,preds,BERTScore_Precision,BERTScore_Recall,BERTScore_F1,ROUGE-1,ROUGE-2,ROUGE-L,correct
2d60b396e4008a37d83f4840e9dca61a8b4169242ce12a693969859647586264,"A 65-year-old man presents with dyspnea, fatigue, and peripheral edema at the hospital. He has had diabetes for more than 20 years. On examination, he is afebrile; other vitals are blood pressure 147/92 mm Hg, heart rate 95 bpm, and respiratory rate 25/min. Physical exam notes 4+ pitting edema in both legs, increased jugular venous pressure, S3 heart sound, and rales. The patient’s laboratory values are sodium 145 mmol/L, potassium 4.7 mmol/L, magnesium 1.2 mmol/L, and glucose 4.3 mmol/L. The patient has a history of hypertension and hypercholesterolemia. He is treated with furosemide and stabilized. On discharge, he is given medication with alpha-adrenergic and beta-adrenergic activity for treatment. Which of the following is the most likely indication?","Carvedilol is a beta-blocker with an alpha-blocking activity associated with reduced mortality in patients with heart failure.

Carvedilol is indicated for treating hypertension, heart failure, and left ventricular dysfunction.

Beta-adrenergic blocking agents usually are not given specifically with regard to meals or the fullness or emptiness of the stomach.

Other agents associated with reduced mortality in patients with heart failure include angiotensin-converting enzyme inhibitors, isosorbide dinitrate, carvedilol, bisoprolol, and metoprolol succinate.",D,Septic shock,Hypertensive crisis,Acute myocardial infarction,Heart failure,Dysrhythmia,"D. Heart failure

The patient's symptoms of dyspnea, fatigue, peripheral edema, increased jugular venous pressure, S3 heart sound, and rales are classic signs of heart failure. The treatment with furosemide, a diuretic, further supports the diagnosis of heart failure, as it is used to reduce fluid overload. The medication with alpha-adrenergic and beta-adrenergic activity could be used to manage heart failure by improving cardiac output and reducing the workload on the heart.",D,0.85268736,0.831679,0.84205216,0.22429906042449133,0.031249995010987127,0.1869158828543979,True
2f1f3304aaec1fffd4ec6b7941c9177064dd01d3f7b623d9754f8973eebfd1c2,"A 19-year-old female seeks elective pregnancy termination six weeks subsequent to the anticipated (missed) onset of her menstrual cycle. She has a history of regular menstruation transpiring every 28 days. Pregnancy is validated via β-human chorionic gonadotropin (β-hCG), with ultrasound affirming the anticipated gestational age. In consideration of this patient's circumstances, what method of pregnancy termination would be both safe and efficacious at this juncture?","Surgical abortion stands as one of the safest medical procedures, boasting a minimal serious complication rate of less than 1% during the first trimester, with a mortality rate merely a fraction of that associated with term delivery. Suction dilation and curettage represent the preferred method during the initial trimester. Internationally, the combination of the oral agent RU-486 followed by prostaglandin injection has demonstrated remarkable efficacy and safety, particularly within European clinical trials, proving effective up to approximately 9 weeks of gestation. Additionally, 15-methyl α-prostaglandin serves as a viable intramuscular abortifacient, alongside options such as prostaglandin E2 suppositories or intraamniotic prostaglandin F2α for second-trimester induction of preterm labor. In light of safety concerns, intraamniotic injection of hypertonic saline is no longer deemed suitable due to its heightened risk of serious complications, including mortality, hyperosmolar crisis, cardiac failure, peritonitis, hemorrhage, and coagulation abnormalities. Thus, it is imperative to utilize superior alternatives and refrain from saline administration. Dilation and evacuation (D",A,Suction dilation and curettage (D,Dilation and evacuation (D,Hypertonic saline infusion,15-methyl α-prostaglandin injectio,Hysterotomy,"B

Dilation and evacuation (D&E) is a safe and commonly used method for terminating pregnancies after the first trimester, which would be the case at six weeks of gestation. Suction dilation and curettage (D&C) is typically used earlier in pregnancy, hypertonic saline infusion is not a standard method for termination, 15-methyl α-prostaglandin is not a recognized medical procedure, and hysterotomy is a surgical procedure similar to a cesarean section and is not indicated for elective termination at this stage.",B,0.8649459,0.83373475,0.84905356,0.2417582374157711,0.0964912237169131,0.2307692264267601,False
f258e6f814c7bb6a895c42d60ef9aeccb6de90e692cbb4f26a6531b7f029d18f,"A 25 year old female presented to the local health center with complaints of increased appetite, weight loss and heat intolerance. On examination she had palmar erythema and proptosis. Which of the following tests would not be useful when diagnosing her condition?","While hyperthyroidism can lead to certain cardiac manifestations (such as tachycardia, atrial fibrillation, and heart failure), an echocardiogram is not typically performed as a routine diagnostic test for hyperthyroidism. If there are specific cardiac symptoms or concerns, further cardiac evaluation may be warranted, but it would not be one of the primary tests used to diagnose underlying cause of hyperthyroidism.",E,CT scan of the brain,Thyroid scan,Thyroid function tests,TSH receptor antibodies,Echocardiogram,"E. Echocardiogram

Rationale: The patient's symptoms suggest hyperthyroidism, which is best diagnosed with a thyroid scan (B), thyroid function tests (C), and TSH receptor antibodies (D) to assess thyroid activity and autoimmune involvement. A CT scan of the brain (A) is not directly related to her thyroid symptoms. An echocardiogram (E) might be useful in assessing cardiac complications of hyperthyroidism, but it is not as directly related to the initial diagnosis as the other tests.",E,0.8543985,0.8758991,0.8650152,0.280373826786619,0.04615384119645024,0.24299064921652555,True
6dcb4d16f55e71c6fefa5f36b6fc515c49c03080b40187ef1aa5342c254af944,"n informing a couple that their newborn has Down syndrome, there is a specific, relatively limited amount of information that the consulting physician should give immediately. The rest can be discussed at a later time. Which of the following best explains the purpose of using this approach to disclosure?","The purpose of providing a specific, relatively limited amount of information immediately when informing a couple that their newborn has Down syndrome is to (D) disclose the most important information so that it can be understood as fully as possible.",D,Allowing the couple's primary care physician to discuss most of the information with them,Allowing the parents time to tell other family members,Delaying parental distress until the information is completely disclosed,Disclosing the most important information so that it can be understood as fully as possible,Influencing the parents' course of action about what is medically most appropriate,"D. Disclosing the most important information so that it can be understood as fully as possible

Rationale: The approach to disclosure is designed to ensure that the couple receives the most critical information first, which allows them to understand the situation fully and begin processing the news. This method respects the parents' need for immediate, clear information while acknowledging that they will need more time and support to absorb and discuss the rest of the details.",D,0.87358785,0.8868668,0.88017726,0.39560439087066784,0.23008849105489865,0.3076923029585799,True
30b595aee7434fa67c63eca962cf58585e67633fb7b38aafa415f9de84d06c19,What pathological condition is associated with the formation of Lewy bodies in brain cells?,"The correct answer is (B) Parkinson’s disease. Lewy bodies are abnormal aggregates of protein that develop inside nerve cells, contributing to Parkinson’s disease.",B,Alzheimer’s disease,Parkinson’s disease,Multiple sclerosis,Amyotrophic lateral sclerosis,Huntington’s disease,"B. Parkinson’s disease

Rationale: Lewy bodies are abnormal aggregates of protein that develop inside nerve cells, and their presence is a hallmark of Parkinson's disease, which affects movement control.",B,0.9131872,0.9313178,0.92216337,0.6122448930612245,0.4897959134693878,0.5714285665306124,True
01c2bc0aaf7289a61505d66219fef7481e8986ec3c2401aeb1cc1e6a85e7b50f,"A 65-year-old man presents with difficulty controlling his bladder and a feeling that his ""bladder is still full"" after urination. He denies having burning with urination. The patient denies recent weight loss, hematochezia, or erectile dysfunction. There is no suprapubic tenderness on physical examination. He is diagnosed with benign prostatic hyperplasia and is prescribed a 5 alpha-reductase inhibitor. Which of the following conditions is also treated with this medication?","Finasteride is a steroid inhibitor of the enzyme 5-alpha reductase.

By inhibiting 5-alpha reductase, finasteride can inhibit the synthesis of dihydrotestosterone, the active androgen in the prostate.

Finasteride is used to treat benign prostatic hyperplasia, but its effects often take months.

It is also used to treat male pattern baldness.",D,Turner syndrome,Prader Willi syndrome,Addison disease,Androgenic alopecia,Horner syndrome,"D. Androgenic alopecia

Rationale: 5 alpha-reductase inhibitors are used to treat benign prostatic hyperplasia by reducing the size of the prostate and improving urinary symptoms. They also treat androgenic alopecia (male pattern baldness) by inhibiting the conversion of testosterone to dihydrotestosterone (DHT), a hormone that contributes to hair loss. The other conditions listed are not treated with 5 alpha-reductase inhibitors.",D,0.87821597,0.88150424,0.879857,0.275862064019025,0.1165048494259593,0.2528735582718986,True
80baa376480282e4d8c8fddeb9d0df8cd4bd0749e8cc63cb8d629e8c4ff5e406,A 2-year-old boy who you suspect has atopic dermatitis presents with areas of erythema coupled with itchy blisters on his scalp and cheeks. The most appropriate first-line management is:,"In the first instance, the use of emollients (C) to prevent dry skin coupled with the application of topical steroid preparations, in areas where there is active disease (e.g. erythematous areas), will decrease discomfort and itch. Furthermore, emollients can also reduce the quantity and potency of topical steroids needed.Other types of therapy include:• antibiotics, for staphylococcal infections;• antihistamines, to help control itch;• wet wraps (E) (special bandaging techniques; wet bandages are applied over either steroid cream or weak antiseptic and then covered with dry stockinet to prevent itching. Alleviates discomfort and provides hydration to skin);• occlusivebandaging.For severe atopic dermatitis, the following treatment regimens may be considered:• phototherapy(A);• oral immunosuppressant (D) and cytotoxic therapy – not indicated inchildhood disease;• topical immunosuppressant preparations (B) have been shown to be beneficial in children as well as adults.Therefore, answer (C) is the most appropriate first step in managing this patient.",C,Phototherapy,Immunosuppressant ointment,Emollient and steroid ointment,Oral immunosuppressant therapy,Wet wraps,"C. Emollient and steroid ointment

Rationale: Atopic dermatitis in children is commonly managed with emollients to hydrate the skin and topical steroids to reduce inflammation and itching. Phototherapy and oral immunosuppressants are not first-line treatments for mild cases in children. Wet wraps are typically used for severe cases or when topical treatments are not sufficient.",C,0.8842292,0.8332824,0.85800016,0.265822780906906,0.020202016328946765,0.20253164166639964,True
5ee17125f348573c28767b7e870019bcee2339cb05db70fbaf8f17a92fe2240e,"A patient presents with severe neck pain, weakness in the left arm and hand, and numbness in the left thumb and index finger. What nerve root is most likely involved in this presentation?",Damage or irritation of C6 root can cause numbness and tingling in the thumb and index finger.,B,C5,C6,C7,C8,T1,"B. C6

Rationale: The symptoms described are indicative of a C6 nerve root involvement. The C6 nerve root innervates the muscles that control the biceps and wrist extensors, which would explain the weakness in the left arm and hand. Additionally, the sensory distribution of the C6 nerve root includes the thumb and index finger, which aligns with the numbness experienced by the patient.",B,0.85236615,0.89542633,0.8733658,0.30508474180982476,0.10810810471877293,0.271186436725079,True
439154b33252e23efc40b29b9dbfa972542dcdb5e1adf34214d52edaec4d8266,Each taste bud includes a group of modified epithelial cells which are the taste cells(gustatory cells) ,Yes each taste is a group of modified epithelial cells of the tongue which are taste cells. ,A,true,false,N/A,N/A,N/A,"A. true

Rationale: Each taste bud indeed contains a group of modified epithelial cells, which are specialized to function as taste cells or gustatory cells, responsible for detecting different tastes.",A,0.8763318,0.9258569,0.90041393,0.4186046466197945,0.260869560557656,0.4186046466197945,True
a64179018aade35ab589d3e6dc3bd2bdc06fd5cdfaaab633911e653dada3ff07,"Which condition is characterized by the presence of blood in the urine, often due to kidney inflammation, infection, or injury?","Hematuria refers to the presence of blood in the urine, which can result from various causes like urinary tract infections, kidney stones, or kidney diseases.",B,Nephrotic syndrome,Hematuria,Pyelonephritis,Renal failure,Glomerulonephritis,"B. Hematuria

Rationale: Hematuria is the medical term specifically used to describe the presence of blood in the urine, which can be a symptom of various conditions affecting the kidneys, such as inflammation, infection, or injury.",B,0.88934475,0.9227884,0.90575796,0.44444443955418383,0.27118643585176677,0.44444443955418383,True
57b79c961de9686c945c8081cff2982a36f5e7cb5df9bbe277e7cd61efd4670e,"A 48-year-old man presents with several months of increasing bilateral leg pain, particularly affecting the distal extremities, and he states that it feels ‘as if he is walking on cotton wool’. Examination shows him to be thin, with normal foot pulses, normal orthopaedic examination, decreased light touch and joint position sense distally, and absent ankle jerks. Which of the following is the diagnosis is likely to be?","The correct answer is D. Alcoholic peripheral neuropathy is often painful; the clue is likely to be in the general condition of the patient (thin, recent weight loss), along with the specific clinical findings. The neuropathy should be confirmed (by EMG), and then the full range of possible causes excluded.",D,Psychological,Hyperviscosity syndrome,Raynoud's phenomona,Painful peripheral neuropathy,Referred pain from the back,"D. Painful peripheral neuropathy

Rationale: The patient's symptoms of bilateral leg pain, sensory deficits (decreased light touch and joint position sense), and absent ankle jerks are indicative of peripheral neuropathy. The other options do not align well with the clinical findings described.",D,0.8545092,0.85408854,0.85429883,0.2597402547478496,0.06741572538820892,0.2597402547478496,True
269e90c45c58832335b6f265ff4c89142214a0ee2ca3c5741ab43e036971b5bf,Pelvic inflammatory disease (PID) occurs in women because of which of the following characteristics of the fallopian tube?,"Fallopian tubes are a conduit from the peritoneal to the uterine cavity, which can also allow sperm or bacteria from the vagina through the uterus to the peritoneal cavity. Each tube is covered by peritoneum and consists of three layers: serosa, muscularis, and mucosa. They traverse the superior portion of the broad ligament attached by a mesentery (mesosalpinx). It has four distinct areas in its 8- to 12-cm length: the portion that runs through the uterine wall (interstitial or cornual portion), the portion immediately adjacent to the uterus (isthmic portion), the midportion of the tube (ampulla), and the distal portion containing the finger-like fimbriae that sweep the ovum into the infundibu-lum of the tube. The fimbriae are intraperitoneal. The tubal lumen becomes increasingly more complex as it approaches the ovary. In tubal reanastomoses, the greatest success is attained when isthmic-isthmic or isthmic-ampullary regions can be reapproximated. The longest of the fimbriae (the fimbriae ovarica) is attached to the ovary.",A,(A)	It is a conduit from the peritoneal space to the uterine cavity.,(B)	It is found in the utero-ovarian ligament.,(C)	It has five separate parts.,(D)	It is attached to the ipsilateral ovary by the mesosalpinx,(E)	It is entirely extraperitoneal,"A

The fallopian tubes can become infected, leading to PID, because they are a conduit from the peritoneal space, where infections can occur, to the uterine cavity. The other options do not directly relate to the susceptibility of the fallopian tubes to infection that causes PID.",A,0.8571666,0.7906179,0.8225484,0.20588234904844294,0.08602150182159801,0.19117646669550184,True
edb6da9542c4616c390df30d53a0ddfa6b654ce28bd2139b3d40c17d8dad2228,A thirty five year old man presents with history of low grade fever and cough for last three months. Examination ofrespiratory system is normal. A diagnosis of tuberculosis ismade. Which of the following feature on chest X-ray suggests this diagnosis:,Ref: Pulmonary tuberculosis (Page 695) Davidson’s Principles  and Practice of Medicine.,A,Cavitation,Con solidation,Hilar congestion,Prominent bronchovascular marking.,Rib erosion,"A. Cavitation

Rationale: Cavitation is a common radiographic feature of tuberculosis, where a hollow area within the lung tissue is visible due to the necrosis of tuberculous lesions.",A,0.8296932,0.8335935,0.83163875,0.0588235250346024,0.0,0.0588235250346024,True
869977de3187fe6db7c3e5cb26858ffcfd51b5fe8f211f698b6cd00403291cf2,"Which endocrine disorder is characterized by excessive production of cortisol, leading to weight gain, high blood pressure, and muscle weakness?
","Cushing's syndrome results from elevated cortisol levels, causing symptoms like central obesity, hypertension, diabetes, and osteoporosis.",A,Cushing's syndrome,Addison's disease,Hypoparathyroidism,Hyperthyroidism,Acromegaly,"A. Cushing's syndrome

The rationale for choosing Cushing's syndrome is that it is specifically associated with the symptoms described: excessive production of cortisol, which can cause weight gain, high blood pressure, and muscle weakness. The other options are related to different hormonal imbalances: Addison's disease involves insufficient cortisol production, Hypoparathyroidism is related to low levels of parathyroid hormone, Hyperthyroidism involves excessive thyroid hormone production, and Acromegaly is due to excessive growth hormone.",A,0.83842844,0.88570595,0.86141896,0.13888888543209885,0.023809520875850705,0.13888888543209885,True
c1be2e26d81a18c23d077c688c8960da8fe6c346f6f9884682b8cc2832feacbb,"Chronic kidney disease (CKD) is a growing health problem in Africa, primarily driven by diabetes and hypertension.","The burden of CKD is increasing in Africa, with diabetes and hypertension being the leading causes. Limited access to healthcare and late presentation contribute to poor outcomes.",A,True,False,N/A,N/A,N/A,"A. True

Rationale: Chronic kidney disease is indeed a significant health issue in Africa, and its prevalence is largely attributed to the high rates of diabetes and hypertension in the continent.",A,0.8753171,0.8897591,0.882479,0.34615384116124265,0.10714285216836758,0.30769230269970416,True
4ae4363a6fbb3284034a04478e835856c61ff78f583a06b660e53ad255c8a428,Regarding anticoagulation therapy for deep vein thrombosis (DVT) in post-operative patient all of the following are true except,"The reverse of the chosen answer is true. Also, Clexane acts more quickly and leaves the body quicker if there is a need to stop.",C,Pneumatic compression stockings are effective in prophylaxis,Heparin is an effective prophylaxis,Aspirin is a superior agent than clexane,Operation and immobility are risk factors,Patients with antithrombin III deficiency are prone to thrombosis,"C. Aspirin is a superior agent than clexane


Rationale: Clexane (enoxaparin) is a low molecular weight heparin specifically used for the prophylaxis and treatment of DVT, and it is generally considered more effective than aspirin for this purpose. Aspirin is an antiplatelet agent and not the preferred choice for anticoagulation in the context of DVT prophylaxis.",C,0.8002738,0.85188097,0.8252714,0.2187499953955079,0.02597402168325252,0.15624999539550796,True
a37a3d786b36d5603785867cb5fa0a7ad8bf6884bcdda873d8625527d8aef1f9,"Which pituitary hormone triggers the male testes to generate sperm and in females,triggering follicular development every month?",The follicle stimulating hormone which is produced by the adenohypophysis is responsible for stimulating the generation of sperm from the testes in males and triggers the follicular development every month in females.,C,Prolactin,Human growth hormone,Follicle stimulating hormone,Luteinuzing hormone,Adrenaline,"C. Follicle stimulating hormone

Rationale: Follicle stimulating hormone (FSH) is directly responsible for stimulating the growth of ovarian follicles in females and spermatogenesis in males, which aligns with the functions described in the question.",C,0.86399966,0.8765039,0.87020683,0.4230769180769231,0.16129031758064533,0.3461538411538462,True
ab369cec5a2a0e6623a01bb2f5b9d040e1f644c66ea0c2438cc0a80e8813857d," A 40-year-old African patient presents with a history of chronic hand pain and stiffness, worse in the morning and with repetitive movements. Physical examination reveals tender, swollen joints with fusiform swelling of the proximal interphalangeal (PIP) joints and sparing of the distal interphalangeal (DIP) joints. Which of the following conditions is most likely responsible for this presentation?","Rheumatoid arthritis commonly affects the small joints of the hands, leading to symmetrical joint involvement, swelling, and morning stiffness.",B,Osteoarthritis,Rheumatoid arthritis,Psoriatic arthritis,Gout,Ankylosing spondylitis,"B

Rationale: The patient's symptoms of chronic hand pain and stiffness, particularly worse in the morning and with repetitive movements, along with the physical examination findings of tender, swollen joints with fusiform swelling of the PIP joints and sparing of the DIP joints, are characteristic of Rheumatoid arthritis. Osteoarthritis typically spares the PIP joints, Psoriatic arthritis often involves the DIP joints, Gout usually presents with acute attacks and affects the DIP joints, and Ankylosing spondylitis primarily affects the spine.",B,0.83054423,0.8956055,0.8618487,0.2285714247510205,0.06741572711021351,0.1428571390367348,True
27e73802b0e5d793c069762ebed5772f7581f20313909ad9ef1c5c23319589bc,The intrinsic factor secreted by the parietal cells of the stomach is necessary for the absorption of ______,The intrinsic factor is necessary for the absorption of vitamin B12 (cyanocobalamin),C,Vitamin C,Pepsin,Vitamin B12,Vitamin B1,Milk,"C. Vitamin B12

Rationale: The intrinsic factor is a glycoprotein secreted by the parietal cells of the stomach that is essential for the absorption of vitamin B12 (cobalamin) in the small intestine. Without intrinsic factor, vitamin B12 cannot be efficiently absorbed, leading to potential deficiencies and conditions such as pernicious anemia.",C,0.8579656,0.92073566,0.888243,0.3703703669135803,0.2666666636722222,0.3703703669135803,True
